Model,Train MSE,Test MSE,Train RMSE,Test RMSE,Train R²,Test R²
Multiple Linear Regression,0.2138,0.2353,0.4624,0.485,0.8105,0.7804
Gradient Boosting,0.06,0.256,0.2449,0.5059,0.9468,0.7611
Extra Trees,0.0,0.2562,0.0,0.5062,1.0,0.7608
Random Forest,0.0369,0.2741,0.1922,0.5235,0.9673,0.7442
XGBoost,0.0057,0.2878,0.0753,0.5365,0.995,0.7314
Lasso,0.2738,0.2924,0.5233,0.5408,0.7573,0.7271
Polynomial Ridge,0.1712,0.3066,0.4137,0.5537,0.8483,0.7138
SVR,0.009,0.3474,0.095,0.5894,0.992,0.6757
KNN,0.2734,0.4853,0.5228,0.6966,0.7577,0.5471
ANN,0.178,0.5616,0.4219,0.7494,0.8422,0.4758
Decision Tree,0.0,0.6075,0.0,0.7794,1.0,0.433
